image_path,medicine_name,split
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\60505-0065-00_PART_1_OF_1_CHAL10_SB_412920F9.jpg,60505-0065-00_412920F9,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-7167-98_PART_1_OF_1_CHAL10_SB_6129B0CD.jpg,00093-7167-98_6129B0CD,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4934.jpg,00093-3171-01_E626F327,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\50111-0468-01_PART_1_OF_1_CHAL10_SB_39301CE0.jpg,50111-0468-01_39301CE0,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\42291-107_0_1.jpg,0dc0fb4ca3a958b36db3a72131f2f951dd22643dbbf30d52982b96a0,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\65597-114_0_0.jpg,265676be3369b4a5b079bf2787775a434ef3cdd44cbbae25d910191d,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1282.jpg,00093-7146-18_5D242E91,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2585.jpg,51285-0114-58_9D2DCE8E,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3119.jpg,65862-0054-30_C12160FB,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\61919-079_0_0.jpg,cf3e3e6ad8ab17310c1d1e3587bb9732ce11cdff34ba8857e70a9ae9,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-7146-18_PART_1_OF_1_CHAL10_SB_5D242E91.jpg,00093-7146-18_5D242E91,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\64205-212_0_0.jpg,304a1cd9785073ed4aa92c558ed02b29a117059d71098bd3fc141cc3,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3616.jpg,00555-0071-01_BF2B5FAA,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\67296-0543_0_1.jpg,7c0319bd36c9c1f89506883c2fa8e1f5ca5068f67db2dcd6795084e3,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3707.jpg,00555-0607-02_3F2F1F98,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\65862-154_0_0.jpg,1ae1d301a92d5d1565a170f1311b1e432ec89f143ea3ca5ac2b9c9f2,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\57844-019_0_0.jpg,a4035edbb9f6bad189ee51e35d10b4dfcd55fe0c35565fc74e7e6858,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\43063-600_0_0.jpg,c911853ce97c9f02cb30c0628d6640a6c35bc2825df75a7aa1785fbf,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54868-2131_0_0.jpg,51ffeac4a8549501f0303b53f64e45891164f9da7f3f908c4b0a2529,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\51079-899_0_0.jpg,dda41cce2487fd3401e2fad0f50c28fa21f54741e8e6685f5d243b35,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\49230-0640-21_PART_1_OF_1_CHAL10_SF_C81C6413.jpg,49230-0640-21_C81C6413,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54458-947_0_1.jpg,58f9004b3eb48c8a8e5cffc64c0484976debbc9db379a44a0ed3f7b1,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-5112-98_PART_1_OF_1_CHAL10_SF_4E2D2719.jpg,00093-5112-98_4E2D2719,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0093-5378_0_1.jpg,6451194af1f75c185de2695a119744b8b24df804c7e455fc92d991e8,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\49999-118_0_0.jpg,292b524c7dd55d2ec50c590a91dc9eed812636011f3025b718fde4ac,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55289-053_0_1.jpg,fbf980515a75cfa62effb9068d0a47898dc9373076890db37b23b39c,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\49702-217_0_1.jpg,d0c66c0bdf06012b37c4ccaa60d2303fe05e9f2f7970124955de3816,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\42254-094_0_0.jpg,3d2144c31fbc83ad507edaf06c862f16ca8aacec1674d402a62f6982,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3516.jpg,00555-9034-58_6D2FB6BD,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1625.jpg,55513-0073-30_1B1C8DE4,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\50436-3120_0_0.jpg,b5b2fd6c0906f8bdc52a7e87523d3382b71f1836d54fcdfcf1989481,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0615-2549_0_0.jpg,752dbad34df25332a5f9ad1de1f4c3c1cd7e4c4a31539dfb853489b0,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1694.jpg,50458-0580-30_791DBCBD,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3015.jpg,00093-7485-20_C73063F3,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\432.jpg,00093-5711-01_3A2B9D5C,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\59762-0140_0_0.jpg,77e0823767b091324433a12c7bf2ed73e7b7da637c756ceaf67a3725,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2706.jpg,00093-7181-01_2D2B96CC,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4173.jpg,00093-4443-01_9E2D4F0A,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4104.jpg,00074-3020-11_E01D703B,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68220-085_0_1.jpg,c82aff8282ed3c979fd7c684d3ad716aee8d696b2d209daf15d429c7,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2532.jpg,00093-0147-01_212990BC,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0555-0606_0_0.jpg,15fa5aacd69f18569f9bd85b11d595e879d48b1786a2c6f18bd5f856,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\389.jpg,00143-1425-01_B12658A2,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\299.jpg,00378-1165-91_3E201F00,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1371.jpg,10144-0606-15_FA1DFD0F,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\60429-954_0_0.jpg,940d40b767bb1fec529f410e5a3a97c5a05e7beae886040440a2fc02,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4801.jpg,00093-4236-01_112388AC,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0007-4885_0_1.jpg,8ccda8c752a6053ae09024902add46e907888f49540baa1beb8b0512,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\52959-510_0_1.jpg,8cf3e77010bc33983ae5e94cc9f8e2bc0447a942cab6708f52002469,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3521.jpg,00172-3758-60_092D04F8,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0093-3040_0_1.jpg,d002ab07cfed3595904c05406217f532b51ffe16e414747136a35f5c,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00172-2083-60_PART_1_OF_1_CHAL10_SF_6426B215.jpg,00172-2083-60_6426B215,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3171.jpg,00093-3127-01_C12DE08F,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\51079-774_0_1.jpg,b2b1b4464d8e6fec591a5a579ea7d353418d006eec9e357cd6fad793,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55289-022_0_0.jpg,7ab7f1375b363c1121a6857d355ac14ebee9501ada88ab11dae065ce,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\12634-179_0_0.jpg,1f8e01fccf521623ce3163195a1bcbd128600683cd339a452e1e144f,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00555-0917-09_PART_1_OF_1_CHAL10_SB_312018D0.jpg,00555-0917-09_312018D0,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0615-7640_0_0.jpg,f4312f275a242eea94a4a76f86c646d18362a91be3c2cf9e3488c420,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0378-1721_0_0.jpg,e2657328b44f4693a98799585474bb1fdd259ba373e2c26a211c58ea,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\43063-251_0_0.jpg,1ad238133a3022ffffc0c2e5f02b92ff8c2a9d2711ef16715096845a,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1594.jpg,68462-0208-01_7A1B3D59,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\63629-4185_0_0.jpg,95c1cd8b2907cfe563cc40617b46445f5e3f7b6fb17efd1d7fb843b2,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\63304-0553-05_PART_1_OF_1_CHAL10_SF_D015681B.jpg,63304-0553-05_D015681B,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54868-5079_0_1.jpg,5fa4b46f9e73572977eb10efe1dd82c99d807299131293894421bcd0,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4266.jpg,00378-0724-19_39241C90,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68788-9509_0_0.jpg,26e68de08220801d91d85d5e3f19a04965e6ff7ce187f6d597dd306d,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53808-0893_0_1.jpg,6f257ace7b1a20f4f3e0d5bba71eb779ff32a880000874fd91ea3f35,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\13310-153_0_1.jpg,f7395aa59ceb19ca8de1dbb4661203c51856454da4ef4d28d35a84e4,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-0892-01_PART_1_OF_1_CHAL10_SB_A32B519A.jpg,00093-0892-01_A32B519A,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\51285-100_0_1.jpg,484b67b802b714dab53707b295e23f61a9ac94ed8604946bdcdd2c73,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55154-8295_0_1.jpg,c2d32d124928dbd052c842b7b9b3aaf057f1ed594b812ee78f65123e,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\42291-130_0_1.jpg,881b9e51afac5046f8e37e9eb26dd84fb586fadb14f3c4f686698451,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\52125-850_0_0.jpg,7d8a2fe59a71868e89a2efce5a34d0eb3262162b445ad5ab9a097259,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\63187-425_0_1.jpg,53711ebd85ffff529b940000bb3b4f69518f8cb1f500a899c9195e22,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0054-0108_0_0.jpg,89aac0fdd2f6b47675ba92dbe0ade7f8f38ffa637505522d5e236471,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\44946-1009_0_1.jpg,b25f0ba89262b6b00e7d86322702b7284f3a8ee50b875e82abdfc4e3,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\61919-262_0_1.jpg,8c6270226c77f8c6d5308b90224749ccd6bed1d5634b82581611a5da,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3787.jpg,00093-5703-01_7D2DBE9D,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-7438-01_PART_1_OF_1_CHAL10_SB_84304232.jpg,00093-7438-01_84304232,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00781-5181-01_PART_1_OF_1_CHAL10_SB_6C23B66D.jpg,00781-5181-01_6C23B66D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1905.jpg,00173-0556-02_251912B8,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\63629-4148_0_1.jpg,71b2c837c7bc13dc3d008c77063d083e40f6cac4736621045b2f2e0d,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\64725-0009_0_1.jpg,5cb89c54365d01b298921a3a54ddbff140c3ff44b998a69560f22bf2,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2926.jpg,00093-0174-56_96294B5A,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55695-014_0_0.jpg,e660d0e87036257bd87e1dc1a706b6c1842d966aad3c341d1db884af,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\66116-432_0_0.jpg,bfdbcfcb393a5e0b953cd9f29fdd2ecae113ec2104fc094ffcb69ce0,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\10544-035_0_0.jpg,bb77ca7f950b26e92e5cdeb414cf5fde07caa4e9eec952fc4706dd7f,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4482.jpg,00093-1049-98_CE29E75F,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2536.jpg,00093-0733-01_1E210F08,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3729.jpg,00555-0860-02_D72F6BEB,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\76413-110_0_1.jpg,a62fc52a829106fe569054de8c2a95b6ae20be96653480bcbfbb1b37,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\156.jpg,53489-0400-01_C01C6053,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0078-0488_0_0.jpg,9cae1b7873e46e5b354c09d8e7d7e2ff704b5d7e050d552bc6a615bd,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\239.jpg,54092-0517-02_D715EBBF,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\49884-545_0_1.jpg,0d598ac3e50660f7c1a496e9cf918ce018780e7f9b7fa8c352923d80,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0615-7842_0_0.jpg,6aaa3b9216e08c3932e89e85aeee427d055bad7ac0626ebc26dbe6dc,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\59630-580_0_1.jpg,e2bf9aadd9f02b8a47c32d825993319dd6a95bae3dc4636b12193497,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53808-1021_0_1.jpg,dd52b7bafe5c46cf373a284b701f9e5a3a8694468b7c768647c187af,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68151-5135_0_1.jpg,37df7c4055e686a0c547cec28bdc16d82c52d95c0b0fe3fcb25dc771,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0603-5335_0_1.jpg,d0694d7b5478805b6862ae710850d32b5d76c6c36234425dc1697c32,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3173.jpg,00173-0758-60_E019704B,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\66993-815_0_0.jpg,0e3d5154ee8da3d1ffa6ddde3a1a39ed985adb292e851342b1996b91,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\421.jpg,00143-1425-01_B12658A2,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1645.jpg,00093-7364-98_AC305672,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\49999-049_0_0.jpg,ab56d76eb71f8040b9a8c5127b6a0c5e2f4e8824bb6e08dc81e90a92,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\51991-735_0_0.jpg,ba01a6d507d28d7152f0980c8a92f3ee6267cb4bfe0d3e3bb1261ad7,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\28.jpg,00074-6122-90_051D829C,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68151-1364_0_0.jpg,4362a78616308d7f5e92b8bc8848948b9cbd6f2cbab2f54eef882b6e,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2437.jpg,00093-3160-06_FB297DFB,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\13668-332_0_1.jpg,4c463850eb7071e9cad182caadb936f176ef240a29b1e96800a09465,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\66336-603_0_1.jpg,a395077f8a4df5418a2ffca6f1001349a7b6584ec5885a87321c47ea,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\51285-047_0_1.jpg,f1549278cf2f59e3779fa2c66955eabbf2b018b4ba08093694145014,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54868-5282_0_1.jpg,f196d12907bab62ca4ad6127efb7051a15e28b2b4778430fd903ca69,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\293.jpg,00093-0733-01_672B3399,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\16714-531_0_1.jpg,69ec68a77ac4be56e011d15307395837b33735ef9f3cfcf078dcd32e,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-5124-01_PART_1_OF_1_CHAL10_SB_3D2D9E8C.jpg,00093-5124-01_3D2D9E8C,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\158.jpg,00093-7671-01_FE26FF27,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2382.jpg,51285-0063-90_6F2D3799,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2758.jpg,00093-0670-06_822B417A,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3063.jpg,59762-5024-01_4D26A6A5,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1102.jpg,00591-0406-01_5C21AE6D,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0591-0369_0_1.jpg,524389a6b715757f8512565e6cb7c7aa7bbf993a9e85fcd4a0a97320,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\21695-305_0_1.jpg,df1bf752f635d5426a6ffdcdb395574475d988337f985bdbc1b908e3,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\262.jpg,00555-0588-01_77303BA1,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\27437-0201-08_PART_1_OF_1_CHAL10_SF_B51D5AAA.jpg,27437-0201-08_B51D5AAA,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55111-469_0_1.jpg,d4655b94cad411261269472728084483fbb4d69673fc95b9db4c1a92,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2254.jpg,59762-4910-01_672133C9,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00071-1015-68_PART_1_OF_1_CHAL10_SB_5215A92D.jpg,00071-1015-68_5215A92D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-7167-98_PART_1_OF_1_CHAL10_SF_6129B0CD.jpg,00093-7167-98_6129B0CD,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\69189-3727_0_0.jpg,0e76254aef694fca7ee5fe3b7338b2d3c46d73a0a03bda65aa5ecdca,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00172-4285-60_PART_1_OF_1_CHAL10_SB_672DB38D.jpg,00172-4285-60_672DB38D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00832-1024-00_PART_1_OF_1_CHAL10_SF_6E233779.jpg,00832-1024-00_6E233779,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\10544-266_0_0.jpg,b440092e4d5f9773e49503ddaaf43ac070f508f8a10ac4cb6dca18ac,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4575.jpg,00093-7671-01_FE26FF27,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68645-341_0_0.jpg,0a5b0f78116883fafae0fcc5e67ff6b49504916ff4e16469e4866d78,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1054.jpg,67253-0902-10_AC15561A,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00555-9026-58_PART_2_OF_2_CHAL10_SF_202F901C.jpg,00555-9026-58_202F901C,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2463.jpg,00143-1268-01_7321B9DD,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68462-303_0_0.jpg,eab1bd9d74e8b38ad943bc0071caad29df96272394b5fae19b5e79c1,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55154-5158_0_0.jpg,721366969e55312aafc4d72ab6485d9056c9ce17495a4042e1d3aa93,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\23155-113_0_0.jpg,9edc4f01e33cd93db77f2acee343baa7147970771e9f3c5898632a9a,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54868-0823_0_0.jpg,6ebda34f2ed90670250952ffbafad23627ba788a0204630d480fcae9,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\76237-112_0_0.jpg,d50915fc1b9e557ac5f3c645272ac3fc1948e88e66abaa921ac03371,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\60505-3848_0_0.jpg,14e7e5588df36268df220e8eea0008fcf80efe35185e8fe9f663aa3f,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55154-6349_0_1.jpg,bfae81259c38fb4c9e5c6c8bf1313df5e3f5b9a11279a56c45b78570,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\59148-0006-13_PART_1_OF_1_CHAL10_SF_97154BCA.jpg,59148-0006-13_97154BCA,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3597.jpg,00172-4280-60_1D2D8EFC,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\10544-002_0_0.jpg,1be393d6c79346c311ebd3cb9b943c535a3497466faf8208e2a1bb01,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3963.jpg,00093-3167-53_10270828,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3239.jpg,00093-7247-06_7329B9CD,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\50436-7350_0_0.jpg,10e37231f6090d9fe68a165402769f9ca2b6f29eadab8d96a5a3279b,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\55154-5567_0_0.jpg,8e5211875e0491179cdbb99f15c03010cca743904e652e16c1b679a6,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2823.jpg,00555-0887-02_A02F505A,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\261.jpg,00093-7236-56_422B2109,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3986.jpg,60505-0185-00_27269384,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0615-7752_0_0.jpg,f04713925b6ade4b13b3ff5aec983244da1345360653ed9294d97606,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53808-0768_0_1.jpg,a61802ab06cd5982026137ae73b97d5aa1f512787ab58981e6a93273,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\60760-370_0_1.jpg,50f2e8b21e18524fc4cc6e8e537d165ca25e7d154764990f3d177a96,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0179-0169_0_1.jpg,92eed4cba95401aa3ba87f7fa62ede911d447643eb3cbd19240d0f39,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3468.jpg,00093-0811-01_15270A98,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4165.jpg,00093-1005-01_9629CB0E,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\54868-0025_0_1.jpg,e79ca8380526a214ff4e9d20623f3596577a30b3c3730268e5dfc3b0,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\42291-191_0_0.jpg,3719627fbf39269de560384db22cc63158d5c288397dd16d87bc3591,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\179.jpg,00172-5411-46_552DAA8D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\3485.jpg,00093-5118-98_452D2299,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68645-151_0_1.jpg,5cb94872c9b7a9b78d835c3eb181c60ef96f4d341c08af4668ecccb2,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4112.jpg,63304-0829-90_D91C6CE3,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0093-3098_0_0.jpg,c76ad6a1f7500321eabf6358f5c66bf153b00e9f532629bb1b6f9566,train
