image_path,medicine_name,generic_name,rxstring,rxcui,product_code,ndc9,size,shape,score,imprint,color,strength,ingredients,dosage_form,author,image_source,source_image,identity_label,split
data\public\pillbox\images\00093-7432-98_NLMIMAGE10_EB4375EB.jpg,valsartan 80 MG Oral Tablet,Valsartan,valsartan 80 MG Oral Tablet,349199,0093-7432,000937432,10,ROUND,1,7432;TV,PINK,VALSARTAN 80 mg,VALSARTAN[VALSARTAN],C42931,Teva Pharmaceuticals USA Inc,NLM,00093-7432-98_NLMIMAGE10_EB4375EB.jpg,0093-7432,train
data\public\pillbox\images\no_product_image.jpg,KALI MURIATICUM POTASSIUM CHLORIDE 6 [hp_X],KALI MURIATICUM,,,0360-0235,003600235,5,ROUND,,,WHITE,POTASSIUM CHLORIDE 6 [hp_X],POTASSIUM CHLORIDE[POTASSIUM CATION],C42998,STANDARD HOMEOPATHIC COMPANY,PKG,no_product_image.jpg,0360-0235,train
data\public\pillbox\images\646790905.jpg,captopril 100 MG Oral Tablet,CAPTOPRIL,captopril 100 MG Oral Tablet,308962,64679-905,646790905,11,ROUND,2,W;905,WHITE,CAPTOPRIL 100 mg,CAPTOPRIL[CAPTOPRIL],C42998,Wockhardt USA LLC.,NLM,646790905.jpg,64679-905,train
data\public\pillbox\images\646790782.jpg,carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet,"CARBIDOPA, LEVODOPA AND ENTACAPONE",carbidopa 12.5 MG / entacapone 200 MG / levodopa 50 MG Oral Tablet,403850,64679-782,646790782,11,ROUND,1,W782,BROWN,LEVODOPA 50 mg;ENTACAPONE 200 mg;CARBIDOPA 12.5 mg,LEVODOPA[LEVODOPA];ENTACAPONE[ENTACAPONE];CARBIDOPA[CARBIDOPA ANHYDROUS],C42931,Wockhardt USA LLC.,NLM,646790782.jpg,64679-782,train
data\public\pillbox\images\005740113.jpg,calcium acetate 667 MG Oral Tablet,Calcium Acetate,calcium acetate 667 MG Oral Tablet,197433,0574-0113,005740113,13,ROUND,1,P113,WHITE,CALCIUM ACETATE 667 mg,CALCIUM ACETATE[CALCIUM CATION],C42998,"Paddock Laboratories, LLC",NLM,005740113.jpg,0574-0113,train
data\public\pillbox\images\604290572.jpg,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,857002,60429-572,604290572,15,OVAL,2,M365,WHITE,HYDROCODONE BITARTRATE 5 mg;ACETAMINOPHEN 325 mg,HYDROCODONE BITARTRATE[HYDROCODONE];ACETAMINOPHEN[ACETAMINOPHEN],C42998,"Golden State Medical Supply, Inc.",NLM,604290572.jpg,60429-572,val
data\public\pillbox\images\00143-1300-01_48162421.jpg,Lithium Carbonate LITHIUM CARBONATE 300 mg,Lithium Carbonate,,,0143-1300,001431300,10,ROUND,2,WW;300,WHITE,LITHIUM CARBONATE 300 mg,LITHIUM CARBONATE[LITHIUM CATION],C42998,West-Ward Pharmaceutical Corp,NLM,00143-1300-01_48162421.jpg,0143-1300,train
data\public\pillbox\images\00002-3239-30_3F1E1F80.jpg,atomoxetine 60 MG Oral Capsule [Strattera],Strattera,atomoxetine 60 MG Oral Capsule [Strattera],352321,0002-3239,000023239,18,CAPSULE,1,LILLY;3239;60;mg,BLUE;YELLOW,Atomoxetine hydrochloride 60 mg,Atomoxetine hydrochloride[Atomoxetine],C25158,Eli Lilly and Company,NLM,00002-3239-30_3F1E1F80.jpg,0002-3239,train
data\public\pillbox\images\16714-0355-01_NLMIMAGE10_D2446943.jpg,levetiracetam 500 MG Oral Tablet,Levetiracetam,levetiracetam 500 MG Oral Tablet,311289,16714-355,167140355,18,OVAL,2,E;11,YELLOW,LEVETIRACETAM 500 mg,LEVETIRACETAM[LEVETIRACETAM],C42931,NorthStar Rx LLC,NLM,16714-0355-01_NLMIMAGE10_D2446943.jpg,16714-355,val
data\public\pillbox\images\00093-5740-65_NLMIMAGE10_F743FBFF.jpg,"cyclosporine, modified 25 MG Oral Capsule",Cyclosporine,"cyclosporine, modified 25 MG Oral Capsule",835894,0093-5740,000935740,13,OVAL,1,25;mg,YELLOW,CYCLOSPORINE 25 mg,CYCLOSPORINE[CYCLOSPORINE],C42954,"Teva Pharmaceuticals USA, Inc.",NLM,00093-5740-65_NLMIMAGE10_F743FBFF.jpg,0093-5740,val
data\public\pillbox\images\000544129.jpg,Cyclophosphamide 25 MG Oral Tablet,Cyclophosphamide,Cyclophosphamide 25 MG Oral Tablet,197549,0054-4129,000544129,9,ROUND,1,54;639,BLUE,CYCLOPHOSPHAMIDE 25 mg,CYCLOPHOSPHAMIDE[CYCLOPHOSPHAMIDE],C42998,"Roxane Laboratories, Inc",NLM,000544129.jpg,0054-4129,train
data\public\pillbox\images\000780440.jpg,methylphenidate hydrochloride 10 MG Oral Tablet [Ritalin],Ritalin,methylphenidate hydrochloride 10 MG Oral Tablet [Ritalin],1091379,0078-0440,000780440,7,ROUND,2,CIBA;3,GREEN,METHYLPHENIDATE HYDROCHLORIDE 10 mg,METHYLPHENIDATE HYDROCHLORIDE[METHYLPHENIDATE],C42998,Novartis Pharmaceuticals Corporation,NLM,000780440.jpg,0078-0440,train
data\public\pillbox\images\540920387.jpg,24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule [Adderall],Adderall,24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule [Adderall],861226,54092-387,540920387,18,CAPSULE,1,ADDERALL;XR;20;mg,ORANGE,DEXTROAMPHETAMINE SULFATE 5 mg;DEXTROAMPHETAMINE SACCHARATE 5 mg;AMPHETAMINE ASPARTATE MONOHYDRATE 5 mg;AMPHETAMINE SULFATE 5 mg,DEXTROAMPHETAMINE SULFATE[DEXTROAMPHETAMINE];DEXTROAMPHETAMINE SACCHARATE[DEXTROAMPHETAMINE];AMPHETAMINE ASPARTATE MONOHYDRATE[AMPHETAMINE];AMPHETAMINE SULFATE[AMPHETAMINE],C42916,Shire US Manufacturing Inc.,NLM,540920387.jpg,54092-387,train
data\public\pillbox\images\16729-0168-01_NLMIMAGE10_F946FCE7.jpg,escitalopram 5 MG Oral Tablet,Escitalopram,escitalopram 5 MG Oral Tablet,351249,16729-168,167290168,5,ROUND,1,5,WHITE,ESCITALOPRAM OXALATE 5 mg,ESCITALOPRAM OXALATE[ESCITALOPRAM],C42931,Accord Healthcare Inc.,NLM,16729-0168-01_NLMIMAGE10_F946FCE7.jpg,16729-168,train
data\public\pillbox\images\001151328.jpg,24 HR amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",24 HR amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,861237,0115-1328,001151328,22,CAPSULE,1,M;Amphet;Salts;5;mg,BLUE,DEXTROAMPHETAMINE SULFATE 1.25 mg;DEXTROAMPHETAMINE SACCHARATE 1.25 mg;AMPHETAMINE SULFATE 1.25 mg;AMPHETAMINE ASPARTATE MONOHYDRATE 1.25 mg,DEXTROAMPHETAMINE SULFATE[DEXTROAMPHETAMINE];DEXTROAMPHETAMINE SACCHARATE[DEXTROAMPHETAMINE];AMPHETAMINE SULFATE[AMPHETAMINE];AMPHETAMINE ASPARTATE MONOHYDRATE[AMPHETAMINE],C42916,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",NLM,001151328.jpg,0115-1328,val
data\public\pillbox\images\633040502.jpg,amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet,amlodipine besylate and atorvastatin calcium,amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet,597974,63304-502,633040502,8,OVAL,1,CDT;252,WHITE,AMLODIPINE BESYLATE 2.5 mg;ATORVASTATIN CALCIUM TRIHYDRATE 20 mg,AMLODIPINE BESYLATE[AMLODIPINE];ATORVASTATIN CALCIUM TRIHYDRATE[ATORVASTATIN],C42931,Ranbaxy Pharmaceuticals Inc,NLM,633040502.jpg,63304-502,train
data\public\pillbox\images\683820095.jpg,carvedilol 25 MG Oral Tablet,Carvedilol,carvedilol 25 MG Oral Tablet,200033,68382-095,683820095,10,ROUND,1,ZC42,WHITE,CARVEDILOL 25 mg,CARVEDILOL[CARVEDILOL],C42931,Zydus Pharmaceuticals (USA) Inc.,NLM,683820095.jpg,68382-095,train
data\public\pillbox\images\000780599.jpg,FANAPT ILOPERIDONE 8 mg,FANAPT,,,0078-0599,000780599,1,ROUND,1,8,WHITE,ILOPERIDONE 8 mg,ILOPERIDONE[ILOPERIDONE],C42998,Novartis Pharmaceuticals Corporation,NLM,000780599.jpg,0078-0599,train
data\public\pillbox\images\9fa5239b-1221-35ab-e053-2a95a90a6fe1.jpg,Rimegepant 75 MG Disintegrating Oral Tablet [Nurtec],NURTEC ODT,Rimegepant 75 MG Disintegrating Oral Tablet [Nurtec],2282320,72618-3000,726183000,14,ROUND,1,,WHITE,RIMEGEPANT SULFATE 75 mg,RIMEGEPANT SULFATE[RIMEGEPANT],C42999,"Biohaven Pharmaceuticals, Inc",SPL,9fa5239b-1221-35ab-e053-2a95a90a6fe1.jpg,72618-3000,train
data\public\pillbox\images\64720-0124-10_6007B00D.jpg,Glyburide 2.5 MG Oral Tablet,Glyburide,Glyburide 2.5 MG Oral Tablet,310534,64720-124,647200124,8,ROUND,2,cor;124,YELLOW,GLYBURIDE 2.5 mg,GLYBURIDE[GLYBURIDE],C42998,"CorePharma, LLC",NLM,64720-0124-10_6007B00D.jpg,64720-124,train
data\public\pillbox\images\60258-0162-01_910EC886.jpg,Renal Caps ASCORBIC ACID 100 mg;THIAMINE HYDROCHLORIDE 1.5 mg;RIBOFLAVIN 1.7 mg;NIACINAMIDE 20 mg;PYRIDOXINE HYDROCHLORIDE 10 mg;FOLIC ACID 1 mg;CYANOCOBALAMIN 6000 ug;BIOTIN 150000 ug;CALCIUM PANTOTHENATE 5 mg,Renal Caps,,,60258-162,602580162,15,CAPSULE,1,C;162,BLACK,ASCORBIC ACID 100 mg;THIAMINE HYDROCHLORIDE 1.5 mg;RIBOFLAVIN 1.7 mg;NIACINAMIDE 20 mg;PYRIDOXINE HYDROCHLORIDE 10 mg;FOLIC ACID 1 mg;CYANOCOBALAMIN 6000 ug;BIOTIN 150000 ug;CALCIUM PANTOTHENATE 5 mg,ASCORBIC ACID[ASCORBIC ACID];THIAMINE HYDROCHLORIDE[Thiamine ION];RIBOFLAVIN[RIBOFLAVIN];NIACINAMIDE[NIACINAMIDE];PYRIDOXINE HYDROCHLORIDE[PYRIDOXINE];FOLIC ACID[FOLIC ACID];CYANOCOBALAMIN[CYANOCOBALAMIN];BIOTIN[BIOTIN];CALCIUM PANTOTHENATE[PANTOTHENIC ACID],C42954,"Cypress Pharmaceutical, Inc.",NLM,60258-0162-01_910EC886.jpg,60258-162,train
data\public\pillbox\images\90df2bf2-aceb-2ae6-e053-2995a90ae2e0.jpg,Tadalafil TADALAFIL 5 mg,Tadalafil,,,73160-010,731600010,10,OVAL,1,U;287,YELLOW,TADALAFIL 5 mg,TADALAFIL[TADALAFIL],C42931,"CarePartners Pharmacy, LLC",SPL,90df2bf2-aceb-2ae6-e053-2995a90ae2e0.jpg,73160-010,train
data\public\pillbox\images\006030235.jpg,bismuth subsalicylate 262 MG Chewable Tablet,Pink Bismuth,bismuth subsalicylate 262 MG Chewable Tablet,308761,0603-0235,006030235,15,ROUND,1,RH046,PINK,BISMUTH SUBSALICYLATE 262 mg,BISMUTH SUBSALICYLATE[BISMUTH CATION],C42893,Qualitest Pharmaceuticals,NLM,006030235.jpg,0603-0235,train
data\public\pillbox\images\605050271.jpg,Moexipril Hydrochloride moexipril hydrochloride 7.5 mg,Moexipril Hydrochloride,,,60505-0271,605050271,6,ROUND,2,APO;MOE;7;5,WHITE,moexipril hydrochloride 7.5 mg,moexipril hydrochloride[Moexiprilat],C42998,Apotex Corp.,NLM,605050271.jpg,60505-0271,train
data\public\pillbox\images\687520090.jpg,nitroglycerin 9 MG Extended Release Oral Capsule,Nitroglycerin,nitroglycerin 9 MG Extended Release Oral Capsule,312020,68752-090,687520090,9,CAPSULE,1,TCL;1223,YELLOW;GREEN,NITROGLYCERIN 9 mg,NITROGLYCERIN[NITROGLYCERIN],C25158,"PD-Rx Pharmaceuticals, Inc.",NLM,687520090.jpg,68752-090,train
data\public\pillbox\images\422910610.jpg,24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet,Metformin Hydrochloride,24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet,860975,42291-610,422910610,19,CAPSULE,1,IP;178,WHITE,METFORMIN HYDROCHLORIDE 500 mg,METFORMIN HYDROCHLORIDE[METFORMIN],C42927,"AvKARE, Inc.",NLM,422910610.jpg,42291-610,train
data\public\pillbox\images\55111-0398-30_B80EDC06.jpg,lansoprazole 15 MG Delayed Release Oral Capsule,Lansoprazole,lansoprazole 15 MG Delayed Release Oral Capsule,596843,55111-398,551110398,16,CAPSULE,1,RDY;LAN,PINK;GREEN,lansoprazole 15 mg,lansoprazole[lansoprazole],C42902,Dr.Reddy's Laboratories Ltd.,NLM,55111-0398-30_B80EDC06.jpg,55111-398,val
data\public\pillbox\images\433530391.jpg,ibuprofen 800 MG Oral Tablet,Ibuprofen,ibuprofen 800 MG Oral Tablet,197807,43353-391,433530391,19,OVAL,1,IP;466,WHITE,IBUPROFEN 800 mg,IBUPROFEN[IBUPROFEN],C42998,"Aphena Pharma Solutions - Tennessee, Inc.",NLM,433530391.jpg,43353-391,train
data\public\pillbox\images\675440224.jpg,24 HR isosorbide mononitrate 60 MG Extended Release Oral Tablet,isosorbide mononitrate,24 HR isosorbide mononitrate 60 MG Extended Release Oral Tablet,353538,67544-224,675440224,15,CAPSULE,2,KU;119;,WHITE,ISOSORBIDE MONONITRATE 60 mg,ISOSORBIDE MONONITRATE[ISOSORBIDE MONONITRATE],C42927,"Aphena Pharma Solutions - Tennessee, LLC",NLM,675440224.jpg,67544-224,train
data\public\pillbox\images\002282221.jpg,Hydrochlorothiazide 25 MG Oral Tablet,Hydrochlorothiazide,Hydrochlorothiazide 25 MG Oral Tablet,310798,0228-2221,002282221,6,ROUND,2,R221,ORANGE,,,C42998,Actavis Elizabeth LLC,NLM,002282221.jpg,0228-2221,train
data\public\pillbox\images\687520065.jpg,nitroglycerin 6.5 MG Extended Release Oral Capsule,Nitroglycerin,nitroglycerin 6.5 MG Extended Release Oral Capsule,312018,68752-065,687520065,8,CAPSULE,1,TCL;1222,YELLOW;BLUE,NITROGLYCERIN 6.5 mg,NITROGLYCERIN[NITROGLYCERIN],C25158,"PD-Rx Pharmaceuticals, Inc.",NLM,687520065.jpg,68752-065,train
data\public\pillbox\images\604290272.jpg,flutamide 125 MG Oral Capsule,Flutamide,flutamide 125 MG Oral Capsule,197726,60429-272,604290272,22,CAPSULE,1,93;7120,BROWN,FLUTAMIDE 125 mg,FLUTAMIDE[FLUTAMIDE],C25158,"Golden State Medical Supply, Inc.",NLM,604290272.jpg,60429-272,train
data\public\pillbox\images\422910894.jpg,venlafaxine 50 MG Oral Tablet,Venlafaxine Hydrochloride,venlafaxine 50 MG Oral Tablet,314277,42291-894,422910894,8,ROUND,2,IP;303,ORANGE,VENLAFAXINE HYDROCHLORIDE 50 mg,VENLAFAXINE HYDROCHLORIDE[VENLAFAXINE],C42998,"AvKARE, Inc.",NLM,422910894.jpg,42291-894,train
data\public\pillbox\images\009046338.jpg,pseudoephedrine hydrochloride 30 MG Oral Tablet [Sudogest],SudoGest,pseudoephedrine hydrochloride 30 MG Oral Tablet [Sudogest],1049162,0904-6338,009046338,6,ROUND,1,TCL016,RED,PSEUDOEPHEDRINE HYDROCHLORIDE 30 mg,PSEUDOEPHEDRINE HYDROCHLORIDE[PSEUDOEPHEDRINE],C42897,Major Pharmaceuticals,NLM,009046338.jpg,0904-6338,train
data\public\pillbox\images\00093-0537-01_942B4A7A.jpg,Naproxen sodium 550 MG Oral Tablet,Naproxen Sodium,Naproxen sodium 550 MG Oral Tablet,849431,0093-0537,000930537,19,OVAL,1,93;537,WHITE,NAPROXEN SODIUM 550 mg,NAPROXEN SODIUM[NAPROXEN],C42931,Teva Pharmaceuticals USA Inc,NLM,00093-0537-01_942B4A7A.jpg,0093-0537,train
data\public\pillbox\images\5_mg_Donepezil_HCl_Tablet.jpg,donepezil hydrochloride 5 MG Oral Tablet,Donepezil,donepezil hydrochloride 5 MG Oral Tablet,997229,60687-292,606870292,7,ROUND,1,I;24,WHITE,DONEPEZIL HYDROCHLORIDE 5 mg,DONEPEZIL HYDROCHLORIDE[DONEPEZIL],C42998,American Health Packaging,SPL,5_mg_Donepezil_HCl_Tablet.jpg,60687-292,train
data\public\pillbox\images\AUR00880.jpg,methadone hydrochloride 5 MG Oral Tablet,Methadone Hydrochloride,methadone hydrochloride 5 MG Oral Tablet,864718,60687-214,606870214,6,ROUND,2,U41,WHITE,METHADONE HYDROCHLORIDE 5 mg,METHADONE HYDROCHLORIDE[METHADONE],C42998,American Health Packaging,SPL,AUR00880.jpg,60687-214,train
data\public\pillbox\images\10_mg_Donepezil_HCl_Tablet.jpg,donepezil hydrochloride 10 MG Oral Tablet,Donepezil,donepezil hydrochloride 10 MG Oral Tablet,997223,60687-303,606870303,9,ROUND,1,I;21,YELLOW,DONEPEZIL HYDROCHLORIDE 10 mg,DONEPEZIL HYDROCHLORIDE[DONEPEZIL],C42998,American Health Packaging,SPL,10_mg_Donepezil_HCl_Tablet.jpg,60687-303,train
data\public\pillbox\images\250_mg_Divalproex_Sodium_Tablet.jpg,24 HR divalproex sodium 250 MG Extended Release Oral Tablet,Divalproex Sodium,24 HR divalproex sodium 250 MG Extended Release Oral Tablet,1099563,68084-310,680840310,18,CAPSULE,1,ZA47,WHITE,DIVALPROEX SODIUM 250 mg,DIVALPROEX SODIUM[VALPROIC ACID],C42930,American Health Packaging,SPL,250_mg_Divalproex_Sodium_Tablet.jpg,68084-310,val
data\public\pillbox\images\000692970.jpg,amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet [Caduet],Caduet,amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet [Caduet],750219,0069-2970,000692970,8,ROUND,1,Pfizer;CDT;252,WHITE,AMLODIPINE BESYLATE 2.5 mg;ATORVASTATIN CALCIUM TRIHYDRATE 20 mg,AMLODIPINE BESYLATE[AMLODIPINE];ATORVASTATIN CALCIUM TRIHYDRATE[ATORVASTATIN],C42931,Pfizer Laboratories Div Pfizer Inc,NLM,000692970.jpg,0069-2970,val
data\public\pillbox\images\23155-0148-01_NLMIMAGE10_D7466B93.jpg,acarbose 50 MG Oral Tablet,Acarbose,acarbose 50 MG Oral Tablet,199149,23155-148,231550148,7,ROUND,1,,WHITE,ACARBOSE 50 mg,ACARBOSE[ACARBOSE],C42998,Heritage Pharmaceuticals Inc.,NLM,23155-0148-01_NLMIMAGE10_D7466B93.jpg,23155-148,train
data\public\pillbox\images\683820069.jpg,simvastatin 80 MG Oral Tablet,Simvastatin,simvastatin 80 MG Oral Tablet,200345,68382-069,683820069,18,CAPSULE,1,ZA23,WHITE,SIMVASTATIN 80 mg,SIMVASTATIN[SIMVASTATIN],C42931,Zydus Pharmaceuticals (USA) Inc.,NLM,683820069.jpg,68382-069,train
data\public\pillbox\images\006036136.jpg,torsemide 20 MG Oral Tablet,Torsemide,torsemide 20 MG Oral Tablet,198371,0603-6136,006036136,14,OVAL,2,6098;V,WHITE,TORSEMIDE 20 mg,TORSEMIDE[TORSEMIDE],C42998,Qualitest Pharmaceuticals,NLM,006036136.jpg,0603-6136,train
data\public\pillbox\images\009040012.jpg,chlorpheniramine maleate 4 MG Oral Tablet,Allergy,chlorpheniramine maleate 4 MG Oral Tablet,1363309,0904-0012,009040012,8,ROUND,2,44;194,YELLOW,CHLORPHENIRAMINE MALEATE 4 mg,CHLORPHENIRAMINE MALEATE[CHLORPHENIRAMINE],C42998,Major Pharmaceuticals,NLM,009040012.jpg,0904-0012,train
data\public\pillbox\images\000080843.jpg,pantoprazole 20 MG Delayed Release Oral Tablet [Protonix],Protonix,pantoprazole 20 MG Delayed Release Oral Tablet [Protonix],352125,0008-0843,000080843,9,OVAL,1,P;20,YELLOW,PANTOPRAZOLE SODIUM 20 mg,PANTOPRAZOLE SODIUM[PANTOPRAZOLE],C42905,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",NLM,000080843.jpg,0008-0843,train
data\public\pillbox\images\49702-0210-17-splimage30-a618d326.jpg,Delavirdine Mesylate 200 MG Oral Tablet [Rescriptor],RESCRIPTOR,Delavirdine Mesylate 200 MG Oral Tablet [Rescriptor],856612,49702-210,497020210,17,OVAL,1,RESCRIPTOR;200;mg,WHITE,DELAVIRDINE MESYLATE 200 mg,DELAVIRDINE MESYLATE[DELAVIRDINE],C42998,ViiV Healthcare Company,NLM,49702-0210-17-splimage30-a618d326.jpg,49702-210,train
data\public\pillbox\images\003780274.jpg,tamoxifen 20 MG Oral Tablet,Tamoxifen Citrate,tamoxifen 20 MG Oral Tablet,313195,0378-0274,003780274,10,ROUND,1,M;274,WHITE,TAMOXIFEN CITRATE 20 mg,TAMOXIFEN CITRATE[TAMOXIFEN],C42998,Mylan Pharmaceuticals Inc.,NLM,003780274.jpg,0378-0274,train
data\public\pillbox\images\317220218.jpg,Benztropine Mesylate BENZTROPINE MESYLATE 0.5 mg,Benztropine Mesylate,,,31722-218,317220218,4,CAPSULE,2,I;G;318,WHITE,BENZTROPINE MESYLATE 0.5 mg,BENZTROPINE MESYLATE[BENZTROPINE],C42998,"Camber Pharmaceutical, Inc.",NLM,317220218.jpg,31722-218,train
data\public\pillbox\images\16729-0184-17_NLMIMAGE10_473B23D9.jpg,hydrochlorothiazide 50 MG Oral Tablet,Hydrochlorothiazide,hydrochlorothiazide 50 MG Oral Tablet,197770,16729-184,167290184,8,ROUND,2,H;3,ORANGE,HYDROCHLOROTHIAZIDE 50 mg,HYDROCHLOROTHIAZIDE[HYDROCHLOROTHIAZIDE],C42998,Accord Healthcare Inc.,NLM,16729-0184-17_NLMIMAGE10_473B23D9.jpg,16729-184,val
data\public\pillbox\images\00093-8122-01_NLMIMAGE10_75363A81.jpg,Doxazosin 4 MG Oral Tablet,Doxazosin,Doxazosin 4 MG Oral Tablet,197627,0093-8122,000938122,12,DIAMOND,2,N;596;4,WHITE,DOXAZOSIN MESYLATE 4 mg,DOXAZOSIN MESYLATE[DOXAZOSIN],C42998,Teva Pharmaceuticals USA Inc,NLM,00093-8122-01_NLMIMAGE10_75363A81.jpg,0093-8122,train
data\public\pillbox\images\000692270.jpg,amlodipine 10 MG / atorvastatin 80 MG Oral Tablet [Caduet],Caduet,amlodipine 10 MG / atorvastatin 80 MG Oral Tablet [Caduet],750211,0069-2270,000692270,17,OVAL,1,Pfizer;CDT;108,BLUE,AMLODIPINE BESYLATE 10 mg;ATORVASTATIN CALCIUM TRIHYDRATE 80 mg,AMLODIPINE BESYLATE[AMLODIPINE];ATORVASTATIN CALCIUM TRIHYDRATE[ATORVASTATIN],C42931,Pfizer Laboratories Div Pfizer Inc,NLM,000692270.jpg,0069-2270,train
