expected_emotion,text,predicted_emotion,confidence,pure_ml_correct,routing_source,hybrid_emotion,hybrid_correct
anger,I lost my temper when the machine failed again.,sadness,0.31912372798613203,False,ml_model,sadness,False
anger,I am still irritated about what happened earlier.,anger,0.6147751719088601,True,ml_model,anger,True
cognitive_fog,I cannot keep track of the steps while preparing breakfast.,cognitive_fog,0.5834654660739266,True,ml_model,cognitive_fog,True
cognitive_fog,The words blur together when I try to follow a page.,neutral,0.4036621751613521,False,ml_model,neutral,False
cognitive_fog,I began a chore and then forgot what I was trying to finish.,cognitive_fog,0.4321004827257718,True,ml_model,cognitive_fog,True
cognitive_fog,My thinking feels cloudy and slow this afternoon.,anxiety,0.25969119239436916,False,rule_fallback,cognitive_fog,True
cognitive_fog,I lose the thread halfway through a conversation.,happiness,0.478856077657069,False,ml_model,happiness,False
cognitive_fog,It is unusually hard to focus on one thing today.,neutral,0.4119105112533406,False,ml_model,neutral,False
cognitive_fog,I cannot organize my thoughts well enough to make a simple plan.,cognitive_fog,0.5338814857214238,True,ml_model,cognitive_fog,True
cognitive_fog,I repeatedly forget the next step of familiar activities.,cognitive_fog,0.44581724237984954,True,ml_model,cognitive_fog,True
cognitive_fog,Following the plot of this program takes too much concentration today.,sadness,0.25638812871648886,False,rule_fallback,cognitive_fog,True
cognitive_fog,My mind feels unclear despite being rested.,neutral,0.28272116179549667,False,rule_fallback,cognitive_fog,True
neutral,I completed my regular errands this morning.,neutral,0.4383484125762333,True,ml_model,neutral,True
neutral,Nothing out of the ordinary happened today.,neutral,0.5676644925013639,True,ml_model,neutral,True
neutral,I ate lunch at noon and read the newspaper.,neutral,0.4277857772777517,True,ml_model,neutral,True
neutral,Everything is about the same as it normally is.,neutral,0.5810078939906282,True,ml_model,neutral,True
neutral,I followed my standard schedule.,neutral,0.6571153385669561,True,ml_model,neutral,True
neutral,The morning passed without any notable events.,neutral,0.44988357643273097,True,ml_model,neutral,True
neutral,I am sitting in the living room now.,anger,0.455072986222231,False,ml_model,anger,False
neutral,I took a walk and returned home before dinner.,neutral,0.3616354619412192,True,ml_model,neutral,True
neutral,My routine has been unchanged this week.,neutral,0.5708665536979887,True,ml_model,neutral,True
neutral,There is nothing special to mention about today.,neutral,0.6837651277788428,True,ml_model,neutral,True
