0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@10.8.2
2 info using node@v20.19.5
52 silly packumentCache corgi:https://registry.npmjs.org/universalify cache-miss
53 silly packumentCache corgi:https://registry.npmjs.org/unique-filename cache-miss
54 silly packumentCache corgi:https://registry.npmjs.org/unicode-property-aliases-ecmascript cache-miss
55 silly packumentCache corgi:https://registry.npmjs.org/unicode-match-property-ecmascript cache-miss
56 silly packumentCache corgi:https://registry.npmjs.org/unique-slug cache-miss
57 silly packumentCache corgi:https://registry.npmjs.org/unicode-match-property-value-ecmascript cache-miss
58 silly packumentCache corgi:https://registry.npmjs.org/unicode-canonical-property-names-ecmascript cache-miss
59 silly packumentCache corgi:https://registry.npmjs.org/undici-types cache-miss
60 silly packumentCache corgi:https://registry.npmjs.org/ua-parser-js cache-miss
61 silly packumentCache corgi:https://registry.npmjs.org/typedarray.prototype.slice cache-miss
62 silly packumentCache corgi:https://registry.npmjs.org/typed-array-byte-offset cache-miss
63 silly packumentCache corgi:https://registry.npmjs.org/type-detect cache-miss
64 silly packumentCache corgi:https://registry.npmjs.org/type-fest cache-miss
65 silly packumentCache corgi:https://registry.npmjs.org/typed-array-buffer cache-miss
66 silly packumentCache corgi:https://registry.npmjs.org/tslib cache-miss
67 silly packumentCache corgi:https://registry.npmjs.org/traverse cache-miss
68 silly packumentCache corgi:https://registry.npmjs.org/ts-interface-checker cache-miss
69 silly packumentCache corgi:https://registry.npmjs.org/toidentifier cache-miss
70 silly packumentCache corgi:https://registry.npmjs.org/tr46 cache-miss
71 silly packumentCache corgi:https://registry.npmjs.org/to-regex-range cache-miss
72 silly packumentCache corgi:https://registry.npmjs.org/tinyglobby cache-miss
73 silly packumentCache corgi:https://registry.npmjs.org/text-table cache-miss
74 silly packumentCache corgi:https://registry.npmjs.org/terminal-link cache-miss
75 silly packumentCache corgi:https://registry.npmjs.org/tempy cache-miss
76 silly packumentCache corgi:https://registry.npmjs.org/test-exclude cache-miss
77 silly packumentCache corgi:https://registry.npmjs.org/temp-dir cache-miss
78 silly packumentCache corgi:https://registry.npmjs.org/tar cache-miss
79 silly packumentCache corgi:https://registry.npmjs.org/supports-preserve-symlinks-flag cache-miss
80 silly packumentCache corgi:https://registry.npmjs.org/temp cache-miss
81 silly packumentCache corgi:https://registry.npmjs.org/supports-hyperlinks cache-miss
82 silly packumentCache corgi:https://registry.npmjs.org/supports-color cache-miss
83 silly packumentCache corgi:https://registry.npmjs.org/structured-headers cache-miss
84 silly packumentCache corgi:https://registry.npmjs.org/sucrase cache-miss
85 silly packumentCache corgi:https://registry.npmjs.org/strip-json-comments cache-miss
86 silly packumentCache corgi:https://registry.npmjs.org/strip-eof cache-miss
87 silly packumentCache corgi:https://registry.npmjs.org/strip-bom cache-miss
88 silly packumentCache corgi:https://registry.npmjs.org/strip-final-newline cache-miss
89 silly packumentCache corgi:https://registry.npmjs.org/strip-ansi cache-miss
90 silly packumentCache corgi:https://registry.npmjs.org/string-width cache-miss
91 silly packumentCache corgi:https://registry.npmjs.org/string-length cache-miss
92 silly packumentCache corgi:https://registry.npmjs.org/strict-uri-encode cache-miss
93 silly packumentCache corgi:https://registry.npmjs.org/statuses cache-miss
94 silly packumentCache corgi:https://registry.npmjs.org/stacktrace-parser cache-miss
95 silly packumentCache corgi:https://registry.npmjs.org/stack-utils cache-miss
96 silly packumentCache corgi:https://registry.npmjs.org/ssri cache-miss
97 silly packumentCache corgi:https://registry.npmjs.org/sprintf-js cache-miss
98 silly packumentCache corgi:https://registry.npmjs.org/source-map-support cache-miss
99 silly packumentCache corgi:https://registry.npmjs.org/source-map-js cache-miss
100 silly packumentCache corgi:https://registry.npmjs.org/slugify cache-miss
101 silly packumentCache corgi:https://registry.npmjs.org/source-map cache-miss
102 silly packumentCache corgi:https://registry.npmjs.org/split-on-first cache-miss
103 silly packumentCache corgi:https://registry.npmjs.org/slash cache-miss
104 silly packumentCache corgi:https://registry.npmjs.org/simple-swizzle cache-miss
105 silly packumentCache corgi:https://registry.npmjs.org/sisteransi cache-miss
106 silly packumentCache corgi:https://registry.npmjs.org/signal-exit cache-miss
107 silly packumentCache corgi:https://registry.npmjs.org/shell-quote cache-miss
108 silly packumentCache corgi:https://registry.npmjs.org/shebang-command cache-miss
109 silly packumentCache corgi:https://registry.npmjs.org/shebang-regex cache-miss
110 silly packumentCache corgi:https://registry.npmjs.org/shallow-clone cache-miss
111 silly packumentCache corgi:https://registry.npmjs.org/setimmediate cache-miss
112 silly packumentCache corgi:https://registry.npmjs.org/setprototypeof cache-miss
113 silly packumentCache corgi:https://registry.npmjs.org/serve-static cache-miss
114 silly packumentCache corgi:https://registry.npmjs.org/simple-plist cache-miss
115 silly packumentCache corgi:https://registry.npmjs.org/send cache-miss
116 silly packumentCache corgi:https://registry.npmjs.org/semver cache-miss
117 silly packumentCache corgi:https://registry.npmjs.org/scheduler cache-miss
118 silly packumentCache corgi:https://registry.npmjs.org/sax cache-miss
119 silly packumentCache corgi:https://registry.npmjs.org/run-parallel cache-miss
120 silly packumentCache corgi:https://registry.npmjs.org/rimraf cache-miss
121 silly packumentCache corgi:https://registry.npmjs.org/reusify cache-miss
122 silly packumentCache corgi:https://registry.npmjs.org/restore-cursor cache-miss
123 silly packumentCache corgi:https://registry.npmjs.org/resolve-workspace-root cache-miss
124 silly packumentCache corgi:https://registry.npmjs.org/resolve-cwd cache-miss
125 silly packumentCache corgi:https://registry.npmjs.org/resolve.exports cache-miss
126 silly packumentCache corgi:https://registry.npmjs.org/resolve-from cache-miss
127 silly packumentCache corgi:https://registry.npmjs.org/resolve cache-miss
128 silly packumentCache corgi:https://registry.npmjs.org/require-directory cache-miss
129 silly packumentCache corgi:https://registry.npmjs.org/remove-trailing-slash cache-miss
130 silly packumentCache corgi:https://registry.npmjs.org/requireg cache-miss
131 silly packumentCache corgi:https://registry.npmjs.org/regjsparser cache-miss
132 silly packumentCache corgi:https://registry.npmjs.org/regexpu-core cache-miss
133 silly packumentCache corgi:https://registry.npmjs.org/regjsgen cache-miss
134 silly packumentCache corgi:https://registry.npmjs.org/regenerate-unicode-properties cache-miss
135 silly packumentCache corgi:https://registry.npmjs.org/regenerator-runtime cache-miss
136 silly packumentCache corgi:https://registry.npmjs.org/require-from-string cache-miss
137 silly packumentCache corgi:https://registry.npmjs.org/regenerate cache-miss
138 silly packumentCache corgi:https://registry.npmjs.org/reflect.getprototypeof cache-miss
139 silly packumentCache corgi:https://registry.npmjs.org/recast cache-miss
140 silly packumentCache corgi:https://registry.npmjs.org/react-shallow-renderer cache-miss
141 silly packumentCache corgi:https://registry.npmjs.org/react-refresh cache-miss
142 silly packumentCache corgi:https://registry.npmjs.org/react-native-gesture-handler cache-miss
143 silly packumentCache corgi:https://registry.npmjs.org/webidl-conversions cache-miss
144 silly packumentCache corgi:https://registry.npmjs.org/uuid cache-miss
145 silly packumentCache corgi:https://registry.npmjs.org/xmlbuilder cache-miss
146 silly packumentCache corgi:https://registry.npmjs.org/picomatch cache-miss
147 silly packumentCache corgi:https://registry.npmjs.org/type-fest cache-miss
148 silly packumentCache corgi:https://registry.npmjs.org/is-stream cache-miss
149 silly packumentCache corgi:https://registry.npmjs.org/minipass cache-miss
150 silly packumentCache corgi:https://registry.npmjs.org/is-fullwidth-code-point cache-miss
151 silly packumentCache corgi:https://registry.npmjs.org/yallist cache-miss
152 silly packumentCache corgi:https://registry.npmjs.org/rimraf cache-miss
153 silly packumentCache corgi:https://registry.npmjs.org/glob cache-miss
154 silly packumentCache corgi:https://registry.npmjs.org/type-fest cache-miss
155 silly packumentCache corgi:https://registry.npmjs.org/escape-string-regexp cache-miss
156 silly packumentCache corgi:https://registry.npmjs.org/commander cache-miss
157 silly packumentCache corgi:https://registry.npmjs.org/is-arrayish cache-miss
158 silly packumentCache corgi:https://registry.npmjs.org/bplist-parser cache-miss
159 silly packumentCache corgi:https://registry.npmjs.org/statuses cache-miss
160 silly packumentCache corgi:https://registry.npmjs.org/send cache-miss
161 silly packumentCache corgi:https://registry.npmjs.org/on-finished cache-miss
162 silly packumentCache corgi:https://registry.npmjs.org/mime cache-miss
163 silly packumentCache corgi:https://registry.npmjs.org/statuses cache-miss
164 silly packumentCache corgi:https://registry.npmjs.org/encodeurl cache-miss
165 silly packumentCache corgi:https://registry.npmjs.org/http-errors cache-miss
166 silly packumentCache corgi:https://registry.npmjs.org/ms cache-miss
167 silly packumentCache corgi:https://registry.npmjs.org/debug cache-miss
168 silly packumentCache corgi:https://registry.npmjs.org/on-finished cache-miss
169 silly packumentCache corgi:https://registry.npmjs.org/ms cache-miss
170 silly packumentCache corgi:https://registry.npmjs.org/mime cache-miss
171 silly packumentCache corgi:https://registry.npmjs.org/debug cache-miss
172 silly packumentCache corgi:https://registry.npmjs.org/resolve cache-miss
173 silly packumentCache corgi:https://registry.npmjs.org/@react-native%2fcodegen cache-miss
174 silly packumentCache corgi:https://registry.npmjs.org/pretty-format cache-miss
175 silly packumentCache corgi:https://registry.npmjs.org/ws cache-miss
176 silly packumentCache corgi:https://registry.npmjs.org/@types%2fyargs cache-miss
177 silly packumentCache corgi:https://registry.npmjs.org/@jest%2ftypes cache-miss
178 silly packumentCache corgi:https://registry.npmjs.org/react-is cache-miss
179 silly packumentCache corgi:https://registry.npmjs.org/promise cache-miss
180 silly packumentCache corgi:https://registry.npmjs.org/mkdirp cache-miss
181 silly tarball no local data for xtend@https://registry.npmjs.org/xtend/-/xtend-4.0.2.tgz. Extracting by manifest.
182 silly tarball no local data for xmlchars@https://registry.npmjs.org/xmlchars/-/xmlchars-2.2.0.tgz. Extracting by manifest.
183 silly tarball no local data for xml-name-validator@https://registry.npmjs.org/xml-name-validator/-/xml-name-validator-4.0.0.tgz. Extracting by manifest.
184 silly tarball no local data for yaml@https://registry.npmjs.org/yaml/-/yaml-2.8.3.tgz. Extracting by manifest.
185 silly tarball no local data for which-module@https://registry.npmjs.org/which-module/-/which-module-2.0.1.tgz. Extracting by manifest.
186 silly tarball no local data for whatwg-mimetype@https://registry.npmjs.org/whatwg-mimetype/-/whatwg-mimetype-3.0.0.tgz. Extracting by manifest.
187 silly tarball no local data for whatwg-encoding@https://registry.npmjs.org/whatwg-encoding/-/whatwg-encoding-2.0.0.tgz. Extracting by manifest.
188 silly tarball no local data for word-wrap@https://registry.npmjs.org/word-wrap/-/word-wrap-1.2.5.tgz. Extracting by manifest.
189 silly tarball no local data for vlq@https://registry.npmjs.org/vlq/-/vlq-1.0.1.tgz. Extracting by manifest.
190 silly tarball no local data for vary@https://registry.npmjs.org/vary/-/vary-1.1.2.tgz. Extracting by manifest.
191 silly tarball no local data for void-elements@https://registry.npmjs.org/void-elements/-/void-elements-3.1.0.tgz. Extracting by manifest.
192 silly tarball no local data for w3c-xmlserializer@https://registry.npmjs.org/w3c-xmlserializer/-/w3c-xmlserializer-4.0.0.tgz. Extracting by manifest.
193 silly tarball no local data for util-deprecate@https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz. Extracting by manifest.
194 silly tarball no local data for util@https://registry.npmjs.org/util/-/util-0.12.5.tgz. Extracting by manifest.
195 silly tarball no local data for uri-js@https://registry.npmjs.org/uri-js/-/uri-js-4.4.1.tgz. Extracting by manifest.
196 silly tarball no local data for url-parse@https://registry.npmjs.org/url-parse/-/url-parse-1.5.10.tgz. Extracting by manifest.
197 silly tarball no local data for typescript@https://registry.npmjs.org/typescript/-/typescript-5.9.3.tgz. Extracting by manifest.
198 silly tarball no local data for unbox-primitive@https://registry.npmjs.org/unbox-primitive/-/unbox-primitive-1.1.0.tgz. Extracting by manifest.
199 silly tarball no local data for typed-array-length@https://registry.npmjs.org/typed-array-length/-/typed-array-length-1.0.7.tgz. Extracting by manifest.
200 silly tarball no local data for typed-array-byte-length@https://registry.npmjs.org/typed-array-byte-length/-/typed-array-byte-length-1.0.3.tgz. Extracting by manifest.
201 silly tarball no local data for type-check@https://registry.npmjs.org/type-check/-/type-check-0.4.0.tgz. Extracting by manifest.
202 silly tarball no local data for ts-api-utils@https://registry.npmjs.org/ts-api-utils/-/ts-api-utils-2.5.0.tgz. Extracting by manifest.
203 silly tarball no local data for tsconfig-paths@https://registry.npmjs.org/tsconfig-paths/-/tsconfig-paths-3.15.0.tgz. Extracting by manifest.
204 silly tarball no local data for ts-jest@https://registry.npmjs.org/ts-jest/-/ts-jest-29.0.5.tgz. Extracting by manifest.
205 silly tarball no local data for ts-declaration-location@https://registry.npmjs.org/ts-declaration-location/-/ts-declaration-location-1.0.7.tgz. Extracting by manifest.
206 silly tarball no local data for tmpl@https://registry.npmjs.org/tmpl/-/tmpl-1.0.5.tgz. Extracting by manifest.
207 silly tarball no local data for through2@https://registry.npmjs.org/through2/-/through2-2.0.5.tgz. Extracting by manifest.
208 silly tarball no local data for throat@https://registry.npmjs.org/throat/-/throat-5.0.0.tgz. Extracting by manifest.
209 silly tarball no local data for tough-cookie@https://registry.npmjs.org/tough-cookie/-/tough-cookie-4.1.4.tgz. Extracting by manifest.
210 silly tarball no local data for thenify-all@https://registry.npmjs.org/thenify-all/-/thenify-all-1.6.0.tgz. Extracting by manifest.
211 silly tarball no local data for thenify@https://registry.npmjs.org/thenify/-/thenify-3.3.1.tgz. Extracting by manifest.
212 silly tarball no local data for terser@https://registry.npmjs.org/terser/-/terser-5.46.1.tgz. Extracting by manifest.
213 silly tarball no local data for tapable@https://registry.npmjs.org/tapable/-/tapable-2.3.2.tgz. Extracting by manifest.
214 silly tarball no local data for symbol-tree@https://registry.npmjs.org/symbol-tree/-/symbol-tree-3.2.4.tgz. Extracting by manifest.
215 silly tarball no local data for synckit@https://registry.npmjs.org/synckit/-/synckit-0.11.12.tgz. Extracting by manifest.
216 silly tarball no local data for sudo-prompt@https://registry.npmjs.org/sudo-prompt/-/sudo-prompt-9.2.1.tgz. Extracting by manifest.
217 silly tarball no local data for strnum@https://registry.npmjs.org/strnum/-/strnum-1.1.2.tgz. Extracting by manifest.
218 silly tarball no local data for strip-indent@https://registry.npmjs.org/strip-indent/-/strip-indent-3.0.0.tgz. Extracting by manifest.
219 silly tarball no local data for string.prototype.trimstart@https://registry.npmjs.org/string.prototype.trimstart/-/string.prototype.trimstart-1.0.8.tgz. Extracting by manifest.
220 silly tarball no local data for string.prototype.trimend@https://registry.npmjs.org/string.prototype.trimend/-/string.prototype.trimend-1.0.9.tgz. Extracting by manifest.
221 silly tarball no local data for string.prototype.repeat@https://registry.npmjs.org/string.prototype.repeat/-/string.prototype.repeat-1.0.0.tgz. Extracting by manifest.
222 silly tarball no local data for string.prototype.matchall@https://registry.npmjs.org/string.prototype.matchall/-/string.prototype.matchall-4.0.12.tgz. Extracting by manifest.
223 silly tarball no local data for string.prototype.trim@https://registry.npmjs.org/string.prototype.trim/-/string.prototype.trim-1.2.10.tgz. Extracting by manifest.
224 silly tarball no local data for stream-buffers@https://registry.npmjs.org/stream-buffers/-/stream-buffers-2.2.0.tgz. Extracting by manifest.
225 silly tarball no local data for string_decoder@https://registry.npmjs.org/string_decoder/-/string_decoder-1.1.1.tgz. Extracting by manifest.
226 silly tarball no local data for stop-iteration-iterator@https://registry.npmjs.org/stop-iteration-iterator/-/stop-iteration-iterator-1.1.0.tgz. Extracting by manifest.
227 silly tarball no local data for stackframe@https://registry.npmjs.org/stackframe/-/stackframe-1.3.4.tgz. Extracting by manifest.
228 silly tarball no local data for stacktrace-js@https://registry.npmjs.org/stacktrace-js/-/stacktrace-js-2.0.2.tgz. Extracting by manifest.
229 silly tarball no local data for stack-generator@https://registry.npmjs.org/stack-generator/-/stack-generator-2.0.10.tgz. Extracting by manifest.
230 silly tarball no local data for slice-ansi@https://registry.npmjs.org/slice-ansi/-/slice-ansi-2.1.0.tgz. Extracting by manifest.
231 silly tarball no local data for side-channel-map@https://registry.npmjs.org/side-channel-map/-/side-channel-map-1.0.1.tgz. Extracting by manifest.
232 silly tarball no local data for side-channel-weakmap@https://registry.npmjs.org/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz. Extracting by manifest.
233 silly tarball no local data for side-channel-list@https://registry.npmjs.org/side-channel-list/-/side-channel-list-1.0.0.tgz. Extracting by manifest.
234 silly tarball no local data for side-channel@https://registry.npmjs.org/side-channel/-/side-channel-1.1.0.tgz. Extracting by manifest.
235 silly tarball no local data for set-proto@https://registry.npmjs.org/set-proto/-/set-proto-1.0.0.tgz. Extracting by manifest.
236 silly tarball no local data for set-function-name@https://registry.npmjs.org/set-function-name/-/set-function-name-2.0.2.tgz. Extracting by manifest.
237 silly tarball no local data for set-blocking@https://registry.npmjs.org/set-blocking/-/set-blocking-2.0.0.tgz. Extracting by manifest.
238 silly tarball no local data for set-function-length@https://registry.npmjs.org/set-function-length/-/set-function-length-1.2.2.tgz. Extracting by manifest.
239 silly tarball no local data for server-only@https://registry.npmjs.org/server-only/-/server-only-0.0.1.tgz. Extracting by manifest.
240 silly tarball no local data for serialize-error@https://registry.npmjs.org/serialize-error/-/serialize-error-2.1.0.tgz. Extracting by manifest.
241 silly tarball no local data for saxes@https://registry.npmjs.org/saxes/-/saxes-6.0.0.tgz. Extracting by manifest.
242 silly tarball no local data for safer-buffer@https://registry.npmjs.org/safer-buffer/-/safer-buffer-2.1.2.tgz. Extracting by manifest.
243 silly tarball no local data for safe-regex-test@https://registry.npmjs.org/safe-regex-test/-/safe-regex-test-1.1.0.tgz. Extracting by manifest.
244 silly tarball no local data for safe-buffer@https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.2.1.tgz. Extracting by manifest.
245 silly tarball no local data for safe-push-apply@https://registry.npmjs.org/safe-push-apply/-/safe-push-apply-1.0.0.tgz. Extracting by manifest.
246 silly tarball no local data for safe-array-concat@https://registry.npmjs.org/safe-array-concat/-/safe-array-concat-1.1.3.tgz. Extracting by manifest.
247 silly tarball no local data for rtl-detect@https://registry.npmjs.org/rtl-detect/-/rtl-detect-1.1.2.tgz. Extracting by manifest.
248 silly tarball no local data for requires-port@https://registry.npmjs.org/requires-port/-/requires-port-1.0.0.tgz. Extracting by manifest.
249 silly tarball no local data for require-main-filename@https://registry.npmjs.org/require-main-filename/-/require-main-filename-2.0.0.tgz. Extracting by manifest.
250 silly tarball no local data for regexpp@https://registry.npmjs.org/regexpp/-/regexpp-3.2.0.tgz. Extracting by manifest.
251 silly tarball no local data for regexp.prototype.flags@https://registry.npmjs.org/regexp.prototype.flags/-/regexp.prototype.flags-1.5.4.tgz. Extracting by manifest.
252 silly tarball no local data for redent@https://registry.npmjs.org/redent/-/redent-3.0.0.tgz. Extracting by manifest.
253 silly tarball no local data for readline@https://registry.npmjs.org/readline/-/readline-1.3.0.tgz. Extracting by manifest.
254 silly tarball no local data for readable-stream@https://registry.npmjs.org/readable-stream/-/readable-stream-2.3.8.tgz. Extracting by manifest.
255 silly tarball no local data for readdirp@https://registry.npmjs.org/readdirp/-/readdirp-3.6.0.tgz. Extracting by manifest.
256 silly tarball no local data for react-native-screens@https://registry.npmjs.org/react-native-screens/-/react-native-screens-3.29.0.tgz. Extracting by manifest.
257 silly tarball no local data for react-native-safe-area-context@https://registry.npmjs.org/react-native-safe-area-context/-/react-native-safe-area-context-4.8.2.tgz. Extracting by manifest.
258 silly tarball no local data for react-native@https://registry.npmjs.org/react-native/-/react-native-0.73.6.tgz. Extracting by manifest.
259 silly tarball no local data for react-i18next@https://registry.npmjs.org/react-i18next/-/react-i18next-13.5.0.tgz. Extracting by manifest.
260 silly tarball no local data for react-freeze@https://registry.npmjs.org/react-freeze/-/react-freeze-1.0.4.tgz. Extracting by manifest.
261 silly tarball no local data for react-is@https://registry.npmjs.org/react-is/-/react-is-16.13.1.tgz. Extracting by manifest.
262 silly tarball no local data for rc@https://registry.npmjs.org/rc/-/rc-1.2.8.tgz. Extracting by manifest.
263 silly tarball no local data for react-devtools-core@https://registry.npmjs.org/react-devtools-core/-/react-devtools-core-4.28.5.tgz. Extracting by manifest.
264 silly tarball no local data for react@https://registry.npmjs.org/react/-/react-18.2.0.tgz. Extracting by manifest.
265 silly tarball no local data for range-parser@https://registry.npmjs.org/range-parser/-/range-parser-1.2.1.tgz. Extracting by manifest.
266 silly tarball no local data for querystringify@https://registry.npmjs.org/querystringify/-/querystringify-2.2.0.tgz. Extracting by manifest.
267 silly tarball no local data for queue@https://registry.npmjs.org/queue/-/queue-6.0.2.tgz. Extracting by manifest.
268 silly tarball no local data for queue-microtask@https://registry.npmjs.org/queue-microtask/-/queue-microtask-1.2.3.tgz. Extracting by manifest.
269 silly tarball no local data for stacktrace-gps@https://registry.npmjs.org/stacktrace-gps/-/stacktrace-gps-3.1.2.tgz. Extracting by manifest.
270 silly tarball no local data for pure-rand@https://registry.npmjs.org/pure-rand/-/pure-rand-6.1.0.tgz. Extracting by manifest.
271 silly tarball no local data for query-string@https://registry.npmjs.org/query-string/-/query-string-7.1.3.tgz. Extracting by manifest.
272 silly tarball no local data for pump@https://registry.npmjs.org/pump/-/pump-3.0.4.tgz. Extracting by manifest.
273 silly tarball no local data for qrcode-terminal@https://registry.npmjs.org/qrcode-terminal/-/qrcode-terminal-0.11.0.tgz. Extracting by manifest.
274 silly tarball no local data for psl@https://registry.npmjs.org/psl/-/psl-1.15.0.tgz. Extracting by manifest.
275 silly tarball no local data for prop-types@https://registry.npmjs.org/prop-types/-/prop-types-15.8.1.tgz. Extracting by manifest.
276 silly tarball no local data for punycode@https://registry.npmjs.org/punycode/-/punycode-2.3.1.tgz. Extracting by manifest.
277 silly tarball no local data for prompts@https://registry.npmjs.org/prompts/-/prompts-2.4.2.tgz. Extracting by manifest.
278 silly tarball no local data for proxy-from-env@https://registry.npmjs.org/proxy-from-env/-/proxy-from-env-2.1.0.tgz. Extracting by manifest.
279 silly tarball no local data for promise@https://registry.npmjs.org/promise/-/promise-7.3.1.tgz. Extracting by manifest.
280 silly tarball no local data for promise-inflight@https://registry.npmjs.org/promise-inflight/-/promise-inflight-1.0.1.tgz. Extracting by manifest.
281 silly tarball no local data for progress@https://registry.npmjs.org/progress/-/progress-2.0.3.tgz. Extracting by manifest.
282 silly tarball no local data for process-nextick-args@https://registry.npmjs.org/process-nextick-args/-/process-nextick-args-2.0.1.tgz. Extracting by manifest.
283 silly tarball no local data for pretty-format@https://registry.npmjs.org/pretty-format/-/pretty-format-29.7.0.tgz. Extracting by manifest.
284 silly tarball no local data for prettier-linter-helpers@https://registry.npmjs.org/prettier-linter-helpers/-/prettier-linter-helpers-1.0.1.tgz. Extracting by manifest.
285 silly tarball no local data for proc-log@https://registry.npmjs.org/proc-log/-/proc-log-4.2.0.tgz. Extracting by manifest.
286 silly tarball no local data for pretty-bytes@https://registry.npmjs.org/pretty-bytes/-/pretty-bytes-5.6.0.tgz. Extracting by manifest.
287 silly tarball no local data for prelude-ls@https://registry.npmjs.org/prelude-ls/-/prelude-ls-1.2.1.tgz. Extracting by manifest.
288 silly tarball no local data for possible-typed-array-names@https://registry.npmjs.org/possible-typed-array-names/-/possible-typed-array-names-1.1.0.tgz. Extracting by manifest.
289 silly tarball no local data for pngjs@https://registry.npmjs.org/pngjs/-/pngjs-3.4.0.tgz. Extracting by manifest.
290 silly tarball no local data for postcss@https://registry.npmjs.org/postcss/-/postcss-8.4.49.tgz. Extracting by manifest.
291 silly tarball no local data for plist@https://registry.npmjs.org/plist/-/plist-3.1.0.tgz. Extracting by manifest.
292 silly tarball no local data for pkg-dir@https://registry.npmjs.org/pkg-dir/-/pkg-dir-4.2.0.tgz. Extracting by manifest.
293 silly tarball no local data for pirates@https://registry.npmjs.org/pirates/-/pirates-4.0.7.tgz. Extracting by manifest.
294 silly tarball no local data for pify@https://registry.npmjs.org/pify/-/pify-4.0.1.tgz. Extracting by manifest.
295 silly tarball no local data for picocolors@https://registry.npmjs.org/picocolors/-/picocolors-1.1.1.tgz. Extracting by manifest.
