normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
acetyldigoxin,acetyldigoxin,acetyldigoxin,C01AA02,C01AA,Digitalis glycosides,Digitalis glycosides,unknown
acetyldihydrocodeine,acetyldihydrocodeine,acetyldihydrocodeine,R05DA12,R05DA,Opium alkaloids and derivatives,Opium alkaloids and derivatives,unknown
acetylglycinamide chloral hydrate,acetylglycinamide chloral hydrate,acetylglycinamide chloral hydrate,N05CC03,N05CC,Aldehydes and derivatives,Aldehydes and derivatives,unknown
acetylleucine,acetylleucine,acetylleucine,N07CA04,N07CA,Antivertigo preparations,Antivertigo preparations,unknown
acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,B01AC06,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
aciclovir,aciclovir,aciclovir,J05AB01,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,unknown
acipimox,acipimox,acipimox,C10AD06,C10AD,Nicotinic acid and derivatives,Nicotinic acid and derivatives,unknown
acitretin,acitretin,acitretin,D05BB02,D05BB,Retinoids for treatment of psoriasis,Retinoids for treatment of psoriasis,unknown
aclarubicin,aclarubicin,aclarubicin,L01DB04,L01DB,Anthracyclines and related substances,Anthracyclines and related substances,unknown
aclidinium bromide,aclidinium bromide,aclidinium bromide,R03BB05,R03BB,Anticholinergics,Anticholinergics,unknown
acriflavinium chloride,acriflavinium chloride,acriflavinium chloride,R02AA13,R02AA,Antiseptics,Antiseptics,unknown
acrivastine,acrivastine,acrivastine,R06AX18,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
adalimumab,adalimumab,adalimumab,L04AB04,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Tumor necrosis factor alpha (TNF-alpha) inhibitors,unknown
adapalene,adapalene,adapalene,D10AD03,D10AD,Retinoids for topical use in acne,Retinoids for topical use in acne,unknown
adefovir dipivoxil,adefovir dipivoxil,adefovir dipivoxil,J05AF08,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Nucleoside and nucleotide reverse transcriptase inhibitors,unknown
ademetionine,ademetionine,ademetionine,A16AA02,A16AA,Amino acids and derivatives,Amino acids and derivatives,unknown
adenosine,adenosine,adenosine,C01EB10,C01EB,Other cardiac preparations,Other cardiac preparations,unknown
adinazolam,adinazolam,adinazolam,N05BA07,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
adipiodone,adipiodone,adipiodone,V08AC04,V08AC,"Watersoluble, hepatotropic X-ray contrast media","Watersoluble, hepatotropic X-ray contrast media",unknown
adrafinil,adrafinil,adrafinil,N06BX17,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
adrenalone,adrenalone,adrenalone,A01AD06,A01AD,Other agents for local oral treatment,Other agents for local oral treatment,unknown
afamelanotide,afamelanotide,afamelanotide,D02BB02,D02BB,Protectives against UV-radiation for systemic use,Protectives against UV-radiation for systemic use,unknown
afatinib,afatinib,afatinib,L01EB03,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,unknown
afelimomab,afelimomab,afelimomab,L04AB03,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Tumor necrosis factor alpha (TNF-alpha) inhibitors,unknown
aflibercept,aflibercept,aflibercept,L01XX44,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
agalsidase alfa,agalsidase alfa,agalsidase alfa,A16AB03,A16AB,Enzymes,Enzymes,unknown
agalsidase beta,agalsidase beta,agalsidase beta,A16AB04,A16AB,Enzymes,Enzymes,unknown
agni casti fructus,Agni casti fructus,Agni casti fructus,G02CX03,G02CX,Other gynecologicals,Other gynecologicals,unknown
agomelatine,agomelatine,agomelatine,N06AX22,N06AX,Other antidepressants,Other antidepressants,unknown
ajmaline,ajmaline,ajmaline,C01BA05,C01BA,"Antiarrhythmics, class Ia","Antiarrhythmics, class Ia",unknown
alanyl glutamine,alanyl glutamine,alanyl glutamine,B05XB02,B05XB,Amino acids,Amino acids,unknown
alaproclate,alaproclate,alaproclate,N06AB07,N06AB,Selective serotonin reuptake inhibitors,Selective serotonin reuptake inhibitors,unknown
albendazole,albendazole,albendazole,P02CA03,P02CA,Benzimidazole derivatives,Benzimidazole derivatives,unknown
albiglutide,albiglutide,albiglutide,A10BJ04,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Glucagon-like peptide-1 (GLP-1) analogues,unknown
albinterferon alfa-2b,albinterferon alfa-2b,albinterferon alfa-2b,L03AB12,L03AB,Interferons,Interferons,unknown
albumin,albumin,albumin,B05AA01,B05AA,Blood substitutes and plasma protein fractions,Blood substitutes and plasma protein fractions,unknown
albumin tannate,albumin tannate,albumin tannate,A07XA01,A07XA,Other antidiarrheals,Other antidiarrheals,unknown
alcaftadine,alcaftadine,alcaftadine,S01GX11,S01GX,Other antiallergics,Other antiallergics,unknown
alclofenac,alclofenac,alclofenac,M01AB06,M01AB,Acetic acid derivatives and related substances,Acetic acid derivatives and related substances,nsaid
alclometasone,alclometasone,alclometasone,D07AB10,D07AB,"Corticosteroids, moderately potent (group II)","Corticosteroids, moderately potent (group II)",unknown
alcuronium,alcuronium,alcuronium,M03AA01,M03AA,Curare alkaloids,Curare alkaloids,unknown
aldesleukin,aldesleukin,aldesleukin,L03AC01,L03AC,Interleukins,Interleukins,unknown
aldesulfone sodium,aldesulfone sodium,aldesulfone sodium,J04BA03,J04BA,Drugs for treatment of lepra,Drugs for treatment of lepra,unknown
aldosterone,aldosterone,aldosterone,H02AA01,H02AA,Mineralocorticoids,Mineralocorticoids,unknown
alectinib,alectinib,alectinib,L01ED03,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Anaplastic lymphoma kinase (ALK) inhibitors,unknown
alefacept,alefacept,alefacept,L04AA15,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
alemtuzumab,alemtuzumab,alemtuzumab,L04AA34,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
alendronic acid,alendronic acid,alendronic acid,M05BA04,M05BA,Bisphosphonates,Bisphosphonates,unknown
alfa1 antitrypsin,alfa1 antitrypsin,alfa1 antitrypsin,B02AB02,B02AB,Proteinase inhibitors,Proteinase inhibitors,unknown
alfacalcidol,alfacalcidol,alfacalcidol,A11CC03,A11CC,Vitamin D and analogues,Vitamin D and analogues,unknown
alfaxalone,alfaxalone,alfaxalone,N01AX05,N01AX,Other general anesthetics,Other general anesthetics,unknown
alfentanil,alfentanil,alfentanil,N01AH02,N01AH,Opioid anesthetics,Opioid anesthetics,unknown
alfuzosin,alfuzosin,alfuzosin,G04CA01,G04CA,Alpha-adrenoreceptor antagonists,Alpha-adrenoreceptor antagonists,unknown
algeldrate,algeldrate,algeldrate,A02AB02,A02AB,Aluminium compounds,Aluminium compounds,unknown
alginic acid,alginic acid,alginic acid,A02BX13,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),unknown
alglucerase,alglucerase,alglucerase,A16AB01,A16AB,Enzymes,Enzymes,unknown
alglucosidase alfa,alglucosidase alfa,alglucosidase alfa,A16AB07,A16AB,Enzymes,Enzymes,unknown
alimemazine,alimemazine,alimemazine,R06AD01,R06AD,Phenothiazine derivatives,Phenothiazine derivatives,antihistamine
alipogene tiparvovec,alipogene tiparvovec,alipogene tiparvovec,C10AX10,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
alirocumab,alirocumab,alirocumab,C10AX14,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
aliskiren,aliskiren,aliskiren,C09XA02,C09XA,Renin-inhibitors,Renin-inhibitors,unknown
alitretinoin,alitretinoin,alitretinoin,D11AH04,D11AH,"Agents for dermatitis, excluding corticosteroids","Agents for dermatitis, excluding corticosteroids",unknown
alizapride,alizapride,alizapride,A03FA05,A03FA,Propulsives,Propulsives,unknown
allobarbital,allobarbital,allobarbital,N05CA21,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
allopurinol,allopurinol,allopurinol,M04AA01,M04AA,Preparations inhibiting uric acid production,Preparations inhibiting uric acid production,unknown
allylestrenol,allylestrenol,allylestrenol,G03DC01,G03DC,Estren derivatives,Estren derivatives,unknown
almagate,almagate,almagate,A02AD03,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","Combinations and complexes of aluminium, calcium and magnesium compounds",unknown
almasilate,almasilate,almasilate,A02AD05,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","Combinations and complexes of aluminium, calcium and magnesium compounds",unknown
alminoprofen,alminoprofen,alminoprofen,M01AE16,M01AE,Propionic acid derivatives,Propionic acid derivatives,nsaid
almitrine,almitrine,almitrine,R07AB07,R07AB,Respiratory stimulants,Respiratory stimulants,unknown
almotriptan,almotriptan,almotriptan,N02CC05,N02CC,Selective serotonin (5HT1) agonists,Selective serotonin (5HT1) agonists,unknown
alogliptin,alogliptin,alogliptin,A10BH04,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Dipeptidyl peptidase 4 (DPP-4) inhibitors,unknown
aloglutamol,aloglutamol,aloglutamol,A02AB06,A02AB,Aluminium compounds,Aluminium compounds,unknown
alosetron,alosetron,alosetron,A03AE01,A03AE,Serotonin receptor antagonists,Serotonin receptor antagonists,unknown
aloxiprin,aloxiprin,aloxiprin,B01AC15,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
alpelisib,alpelisib,alpelisib,L01EM03,L01EM,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,unknown
alprazolam,alprazolam,alprazolam,N05BA12,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
alprenolol,alprenolol,alprenolol,C07AA01,C07AA,"Beta blocking agents, non-selective","Beta blocking agents, non-selective",beta_blocker
alprostadil,alprostadil,alprostadil,C01EA01,C01EA,Prostaglandins,Prostaglandins,unknown
alsactide,alsactide,alsactide,V04CH04,V04CH,Tests for renal function and ureteral injuries,Tests for renal function and ureteral injuries,unknown
alteplase,alteplase,alteplase,B01AD02,B01AD,Enzymes,Enzymes,unknown
althea root,althea root,althea root,R05CA05,R05CA,Expectorants,Expectorants,unknown
altretamine,altretamine,altretamine,L01XX03,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
alum,alum,alum,S01XA07,S01XA,Other ophthalmologicals,Other ophthalmologicals,unknown
aluminium acetoacetate,aluminium acetoacetate,aluminium acetoacetate,A02AB05,A02AB,Aluminium compounds,Aluminium compounds,unknown
aluminium acetotartrate,aluminium acetotartrate,aluminium acetotartrate,S02AA04,S02AA,Antiinfectives,Antiinfectives,unknown
aluminium chloride,aluminium chloride,aluminium chloride,D10AX01,D10AX,Other anti-acne preparations for topical use,Other anti-acne preparations for topical use,unknown
aluminium chlorohydrate,aluminium chlorohydrate,aluminium chlorohydrate,D09AA08,D09AA,Medicated dressings with antiinfectives,Medicated dressings with antiinfectives,unknown
aluminium clofibrate,aluminium clofibrate,aluminium clofibrate,C10AB03,C10AB,Fibrates,Fibrates,unknown
aluminium glycinate,aluminium glycinate,aluminium glycinate,A02AB07,A02AB,Aluminium compounds,Aluminium compounds,unknown
aluminium hydroxide,aluminium hydroxide,aluminium hydroxide,A02AB01,A02AB,Aluminium compounds,Aluminium compounds,unknown
aluminium nicotinate,aluminium nicotinate,aluminium nicotinate,C10AD04,C10AD,Nicotinic acid and derivatives,Nicotinic acid and derivatives,unknown
aluminium oxide,aluminium oxide,aluminium oxide,D10AX04,D10AX,Other anti-acne preparations for topical use,Other anti-acne preparations for topical use,unknown
aluminium phosphate,aluminium phosphate,aluminium phosphate,A02AB03,A02AB,Aluminium compounds,Aluminium compounds,unknown
aluminium preparations,aluminium preparations,aluminium preparations,C05AX01,C05AX,Other agents for treatment of hemorrhoids and anal fissures for topical use,Other agents for treatment of hemorrhoids and anal fissures for topical use,unknown
alverine,alverine,alverine,A03AX08,A03AX,Other drugs for functional gastrointestinal disorders,Other drugs for functional gastrointestinal disorders,unknown
alvimopan,alvimopan,alvimopan,A06AH02,A06AH,Peripheral opioid receptor antagonists,Peripheral opioid receptor antagonists,unknown
amantadine,amantadine,amantadine,N04BB01,N04BB,Adamantane derivatives,Adamantane derivatives,unknown
ambazone,ambazone,ambazone,R02AA01,R02AA,Antiseptics,Antiseptics,unknown
ambenonium,ambenonium,ambenonium,N07AA30,N07AA,Anticholinesterases,Anticholinesterases,unknown
ambrisentan,ambrisentan,ambrisentan,C02KX02,C02KX,Antihypertensives for pulmonary arterial hypertension,Antihypertensives for pulmonary arterial hypertension,unknown
ambroxol,ambroxol,ambroxol,R05CB06,R05CB,Mucolytics,Mucolytics,unknown
amcinonide,amcinonide,amcinonide,D07AC11,D07AC,"Corticosteroids, potent (group III)","Corticosteroids, potent (group III)",unknown
amenamevir,amenamevir,amenamevir,J05AX26,J05AX,Other antivirals,Other antivirals,unknown
amezinium metilsulfate,amezinium metilsulfate,amezinium metilsulfate,C01CA25,C01CA,Adrenergic and dopaminergic agents,Adrenergic and dopaminergic agents,unknown
amfepramone,amfepramone,amfepramone,A08AA03,A08AA,Centrally acting antiobesity products,Centrally acting antiobesity products,unknown
amfetamine,amfetamine,amfetamine,N06BA01,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
amifampridine,amifampridine,amifampridine,N07XX05,N07XX,Other nervous system drugs,Other nervous system drugs,unknown
amifostine,amifostine,amifostine,V03AF05,V03AF,Detoxifying agents for antineoplastic treatment,Detoxifying agents for antineoplastic treatment,unknown
amikacin,amikacin,amikacin,J01GB06,J01GB,Other aminoglycosides,Other aminoglycosides,aminoglycoside
amiloride,amiloride,amiloride,C03DB01,C03DB,Other potassium-sparing agents,Other potassium-sparing agents,unknown
amineptine,amineptine,amineptine,N06AA19,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
amino acids,amino acids,amino acids,B05BA01,B05BA,Solutions for parenteral nutrition,Solutions for parenteral nutrition,unknown
amino diphenylhydantoin valeric acid,amino(diphenylhydantoin) valeric acid,amino(diphenylhydantoin) valeric acid,N03AB03,N03AB,Hydantoin derivatives,Hydantoin derivatives,unknown
aminoacridine,aminoacridine,aminoacridine,D08AA02,D08AA,Acridine derivatives,Acridine derivatives,unknown
aminobenzoate potassium,aminobenzoate potassium,aminobenzoate potassium,D11AX23,D11AX,Other dermatologicals,Other dermatologicals,unknown
aminobenzoic acid,aminobenzoic acid,aminobenzoic acid,D02BA01,D02BA,Protectives against UV-radiation for topical use,Protectives against UV-radiation for topical use,unknown
aminobutyric acid,aminobutyric acid,aminobutyric acid,N03AG03,N03AG,Fatty acid derivatives,Fatty acid derivatives,unknown
aminocaproic acid,aminocaproic acid,aminocaproic acid,B02AA01,B02AA,Amino acids,Amino acids,unknown
aminoglutethimide,aminoglutethimide,aminoglutethimide,L02BG01,L02BG,Aromatase inhibitors,Aromatase inhibitors,unknown
aminohippuric acid,aminohippuric acid,aminohippuric acid,V04CH30,V04CH,Tests for renal function and ureteral injuries,Tests for renal function and ureteral injuries,unknown
aminolevulinic acid,aminolevulinic acid,aminolevulinic acid,L01XD04,L01XD,Sensitizers used in photodynamic/radiation therapy,Sensitizers used in photodynamic/radiation therapy,unknown
aminomethylbenzoic acid,aminomethylbenzoic acid,aminomethylbenzoic acid,B02AA03,B02AA,Amino acids,Amino acids,unknown
aminophenazone,aminophenazone,aminophenazone,N02BB03,N02BB,Pyrazolones,Pyrazolones,unknown
aminophylline,aminophylline,aminophylline,R03DA05,R03DA,Xanthines,Xanthines,unknown
amiodarone,amiodarone,amiodarone,C01BD01,C01BD,"Antiarrhythmics, class III","Antiarrhythmics, class III",unknown
amisulpride,amisulpride,amisulpride,N05AL05,N05AL,Benzamides,Benzamides,unknown
amitriptyline,amitriptyline,amitriptyline,N06AA09,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
amlexanox,amlexanox,amlexanox,A01AD07,A01AD,Other agents for local oral treatment,Other agents for local oral treatment,unknown
amlodipine,amlodipine,amlodipine,C08CA01,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
ammonium chloride,ammonium chloride,ammonium chloride,G04BA01,G04BA,Acidifiers,Acidifiers,unknown
amobarbital,amobarbital,amobarbital,N05CA02,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
amodiaquine,amodiaquine,amodiaquine,P01BA06,P01BA,Aminoquinolines,Aminoquinolines,unknown
amorolfine,amorolfine,amorolfine,D01AE16,D01AE,Other antifungals for topical use,Other antifungals for topical use,unknown
amoxapine,amoxapine,amoxapine,N06AA17,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
amoxicillin,amoxicillin,amoxicillin,J01CA04,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
amphotericin b,amphotericin B,amphotericin B,A01AB04,A01AB,Antiinfectives and antiseptics for local oral treatment,Antiinfectives and antiseptics for local oral treatment,unknown
ampicillin,ampicillin,ampicillin,J01CA01,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
amprenavir,amprenavir,amprenavir,J05AE05,J05AE,Protease inhibitors,Protease inhibitors,unknown
amrinone,amrinone,amrinone,C01CE01,C01CE,Phosphodiesterase inhibitors,Phosphodiesterase inhibitors,unknown
amrubicin,amrubicin,amrubicin,L01DB10,L01DB,Anthracyclines and related substances,Anthracyclines and related substances,unknown
amsacrine,amsacrine,amsacrine,L01XX01,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
amyl nitrite,amyl nitrite,amyl nitrite,V03AB22,V03AB,Antidotes,Antidotes,unknown
anagrelide,anagrelide,anagrelide,L01XX35,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
anakinra,anakinra,anakinra,L04AC03,L04AC,Interleukin inhibitors,Interleukin inhibitors,unknown
anastrozole,anastrozole,anastrozole,L02BG03,L02BG,Aromatase inhibitors,Aromatase inhibitors,unknown
ancestim,ancestim,ancestim,L03AA12,L03AA,Colony stimulating factors,Colony stimulating factors,unknown
ancrod,ancrod,ancrod,B01AD09,B01AD,Enzymes,Enzymes,unknown
andexanet alfa,andexanet alfa,andexanet alfa,V03AB38,V03AB,Antidotes,Antidotes,unknown
androstanolone,androstanolone,androstanolone,A14AA01,A14AA,Androstan derivatives,Androstan derivatives,unknown
anecortave,anecortave,anecortave,S01LA02,S01LA,Antineovascularisation agents,Antineovascularisation agents,unknown
anethole trithione,anethole trithione,anethole trithione,A16AX02,A16AX,Various alimentary tract and metabolism products,Various alimentary tract and metabolism products,unknown
angiotensin ii,angiotensin II,angiotensin II,C01CX09,C01CX,Other cardiac stimulants,Other cardiac stimulants,unknown
angiotensinamide,angiotensinamide,angiotensinamide,C01CX06,C01CX,Other cardiac stimulants,Other cardiac stimulants,unknown
anidulafungin,anidulafungin,anidulafungin,J02AX06,J02AX,Other antimycotics for systemic use,Other antimycotics for systemic use,unknown
anileridine,anileridine,anileridine,N01AH05,N01AH,Opioid anesthetics,Opioid anesthetics,unknown
animals,animals,animals,V01AA11,V01AA,Allergen extracts,Allergen extracts,unknown
aniracetam,aniracetam,aniracetam,N06BX11,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
anistreplase,anistreplase,anistreplase,B01AD03,B01AD,Enzymes,Enzymes,unknown
antazoline,antazoline,antazoline,R06AX05,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
anthrax antigen,anthrax antigen,anthrax antigen,J07AC01,J07AC,Anthrax vaccines,Anthrax vaccines,unknown
anthrax immunoglobulin,anthrax immunoglobulin,anthrax immunoglobulin,J06BB19,J06BB,Specific immunoglobulins,Specific immunoglobulins,unknown
anti-d rh immunoglobulin,anti-D (rh) immunoglobulin,anti-D (rh) immunoglobulin,J06BB01,J06BB,Specific immunoglobulins,Specific immunoglobulins,unknown
antilymphocyte immunoglobulin horse,antilymphocyte immunoglobulin (horse),antilymphocyte immunoglobulin (horse),L04AA03,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
antimony pentasulfide,antimony pentasulfide,antimony pentasulfide,R05CA07,R05CA,Expectorants,Expectorants,unknown
antithrombin iii,antithrombin III,antithrombin III,B01AB02,B01AB,Heparin group,Heparin group,unknown
antithymocyte immunoglobulin rabbit,antithymocyte immunoglobulin (rabbit),antithymocyte immunoglobulin (rabbit),L04AA04,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
apalutamide,apalutamide,apalutamide,L02BB05,L02BB,Anti-androgens,Anti-androgens,unknown
apixaban,apixaban,apixaban,B01AF02,B01AF,Direct factor Xa inhibitors,Direct factor Xa inhibitors,anticoagulant
apomorphine,apomorphine,apomorphine,N04BC07,N04BC,Dopamine agonists,Dopamine agonists,unknown
apraclonidine,apraclonidine,apraclonidine,S01EA03,S01EA,Sympathomimetics in glaucoma therapy,Sympathomimetics in glaucoma therapy,unknown
apremilast,apremilast,apremilast,L04AA32,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
aprepitant,aprepitant,aprepitant,A04AD12,A04AD,Other antiemetics,Other antiemetics,unknown
aprindine,aprindine,aprindine,C01BB04,C01BB,"Antiarrhythmics, class Ib","Antiarrhythmics, class Ib",unknown
aprobarbital,aprobarbital,aprobarbital,N05CA05,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
apronal,apronal,apronal,N05CM12,N05CM,Other hypnotics and sedatives,Other hypnotics and sedatives,unknown
aprotinin,aprotinin,aprotinin,B02AB01,B02AB,Proteinase inhibitors,Proteinase inhibitors,unknown
arbekacin,arbekacin,arbekacin,J01GB12,J01GB,Other aminoglycosides,Other aminoglycosides,aminoglycoside
arbutamine,arbutamine,arbutamine,C01CA22,C01CA,Adrenergic and dopaminergic agents,Adrenergic and dopaminergic agents,unknown
argatroban,argatroban,argatroban,B01AE03,B01AE,Direct thrombin inhibitors,Direct thrombin inhibitors,anticoagulant
arginine glutamate,arginine glutamate,arginine glutamate,A05BA01,A05BA,Liver therapy,Liver therapy,unknown
